x,y,z
-12,-20,-32
-12,-19,-31
-12,-18,-30
-12,-17,-29
-12,-16,-28
-12,-15,-27
-12,-14,-26
-12,-13,-25
-12,-12,-24
-12,-11,-23
-12,-10,-22
-12,-9,-21
-12,-8,-20
-12,-7,-19
-12,-6,-18
-12,-5,-17
-12,-4,-16
-12,-3,-15
-12,-2,-14
-12,-1,-13
-12,0,-12
-12,1,-11
-12,2,-10
-12,3,-9
-12,4,-8
-12,5,-7
-12,6,-6
-12,7,-5
-12,8,-4
-12,9,-3
-12,10,-2
-12,11,-1
-12,12,0
-12,13,1
-12,14,2
-12,15,3
-12,16,4
-12,17,5
-12,18,6
-12,19,7
-11,-20,-31
-11,-19,-30
-11,-18,-29
-11,-17,-28
-11,-16,-27
-11,-15,-26
-11,-14,-25
-11,-13,-24
-11,-12,-23
-11,-11,-22
-11,-10,-21
-11,-9,-20
-11,-8,-19
-11,-7,-18
-11,-6,-17
-11,-5,-16
-11,-4,-15
-11,-3,-14
-11,-2,-13
-11,-1,-12
-11,0,-11
-11,1,-10
-11,2,-9
-11,3,-8
-11,4,-7
-11,5,-6
-11,6,-5
-11,7,-4
-11,8,-3
-11,9,-2
-11,10,-1
-11,11,0
-11,12,1
-11,13,2
-11,14,3
-11,15,4
-11,16,5
-11,17,6
-11,18,7
-11,19,8
-10,-20,-30
-10,-19,-29
-10,-18,-28
-10,-17,-27
-10,-16,-26
-10,-15,-25
-10,-14,-24
-10,-13,-23
-10,-12,-22
-10,-11,-21
-10,-10,-20
-10,-9,-19
-10,-8,-18
-10,-7,-17
-10,-6,-16
-10,-5,-15
-10,-4,-14
-10,-3,-13
-10,-2,-12
-10,-1,-11
-10,0,-10
-10,1,-9
-10,2,-8
-10,3,-7
-10,4,-6
-10,5,-5
-10,6,-4
-10,7,-3
-10,8,-2
-10,9,-1
-10,10,0
-10,11,1
-10,12,2
-10,13,3
-10,14,4
-10,15,5
-10,16,6
-10,17,7
-10,18,8
-10,19,9
-9,-20,-29
-9,-19,-28
-9,-18,-27
-9,-17,-26
-9,-16,-25
-9,-15,-24
-9,-14,-23
-9,-13,-22
-9,-12,-21
-9,-11,-20
-9,-10,-19
-9,-9,-18
-9,-8,-17
-9,-7,-16
-9,-6,-15
-9,-5,-14
-9,-4,-13
-9,-3,-12
-9,-2,-11
-9,-1,-10
-9,0,-9
-9,1,-8
-9,2,-7
-9,3,-6
-9,4,-5
-9,5,-4
-9,6,-3
-9,7,-2
-9,8,-1
-9,9,0
-9,10,1
-9,11,2
-9,12,3
-9,13,4
-9,14,5
-9,15,6
-9,16,7
-9,17,8
-9,18,9
-9,19,10
-8,-20,-28
-8,-19,-27
-8,-18,-26
-8,-17,-25
-8,-16,-24
-8,-15,-23
-8,-14,-22
-8,-13,-21
-8,-12,-20
-8,-11,-19
-8,-10,-18
-8,-9,-17
-8,-8,-16
-8,-7,-15
-8,-6,-14
-8,-5,-13
-8,-4,-12
-8,-3,-11
-8,-2,-10
-8,-1,-9
-8,0,-8
-8,1,-7
-8,2,-6
-8,3,-5
-8,4,-4
-8,5,-3
-8,6,-2
-8,7,-1
-8,8,0
-8,9,1
-8,10,2
-8,11,3
-8,12,4
-8,13,5
-8,14,6
-8,15,7
-8,16,8
-8,17,9
-8,18,10
-8,19,11
-7,-20,-27
-7,-19,-26
-7,-18,-25
-7,-17,-24
-7,-16,-23
-7,-15,-22
-7,-14,-21
-7,-13,-20
-7,-12,-19
-7,-11,-18
-7,-10,-17
-7,-9,-16
-7,-8,-15
-7,-7,-14
-7,-6,-13
-7,-5,-12
-7,-4,-11
-7,-3,-10
-7,-2,-9
-7,-1,-8
-7,0,-7
-7,1,-6
-7,2,-5
-7,3,-4
-7,4,-3
-7,5,-2
-7,6,-1
-7,7,0
-7,8,1
-7,9,2
-7,10,3
-7,11,4
-7,12,5
-7,13,6
-7,14,7
-7,15,8
-7,16,9
-7,17,10
-7,18,11
-7,19,12
-6,-20,-26
-6,-19,-25
-6,-18,-24
-6,-17,-23
-6,-16,-22
-6,-15,-21
-6,-14,-20
-6,-13,-19
-6,-12,-18
-6,-11,-17
-6,-10,-16
-6,-9,-15
-6,-8,-14
-6,-7,-13
-6,-6,-12
-6,-5,-11
-6,-4,-10
-6,-3,-9
-6,-2,-8
-6,-1,-7
-6,0,-6
-6,1,-5
-6,2,-4
-6,3,-3
-6,4,-2
-6,5,-1
-6,6,0
-6,7,1
-6,8,2
-6,9,3
-6,10,4
-6,11,5
-6,12,6
-6,13,7
-6,14,8
-6,15,9
-6,16,10
-6,17,11
-6,18,12
-6,19,13
-5,-20,-25
-5,-19,-24
-5,-18,-23
-5,-17,-22
-5,-16,-21
-5,-15,-20
-5,-14,-19
-5,-13,-18
-5,-12,-17
-5,-11,-16
-5,-10,-15
-5,-9,-14
-5,-8,-13
-5,-7,-12
-5,-6,-11
-5,-5,-10
-5,-4,-9
